Mes,Posto,Região,Bandeira,GNV,Etanol,Gasolina Comum,Gasolina Aditivada,Diesel s-500,Diesel s-10
06-18,Posto Eucalipto,Maruípe,BR,,3.55,4.6,4.7,,3.24
06-18,Posto Norte Sul,Maruípe,Ipiranga,,3.5,4.4,4.65,3.3,3.39
06-18,Arara Azul Rede de Postos,Maruípe,Shell,2.78,,4.3,,,
06-18,Posto Enseada,Praia do Canto,Ipiranga,,3.6,4.5,4.6,,3.4
06-18,Posto Iate,Praia do Canto,Shell,,3.7,4.6,4.8,,3.69
06-18,Posto Santo Antônio,Santo Antônio,Ale,,3.55,4.29,,,3.39
06-18,Posto Apolo,São Pedro,Ale,,,4.5,4.6,,3.44
07-18,Posto Modelo,Bento Ferreira,Branca,,3.24,4.37,4.37,3.15,
07-18,Posto Thiago,Bento Ferreira,BR,,3.45,4.4,4.6,3.24,
07-18,Posto Beira Mar,Bento Ferreira,Shell,,3.359,4.479,4.629,,3.09
07-18,Posto Moscoso,Centro,Shell,,,4.36,4.76,,3.66
07-18,Posto Ouro Negro,Centro,BR,,3.59,4.65,4.75,,3.43
07-18,Posto Pio XII,Centro,Atlântica,,,4.37,4.37,,
07-18,Arara Azul Rede de Postos,Camburi,Shell,2.78,3.59,4.47,4.67,,3.33
07-18,Auto Posto Presidente,Camburi,BR,,,4.599,4.699,,3.239
07-18,Posto Mata da Praia,Camburi,Shell,,,,,,
07-18,Posto Aerovix,Camburi,Ipiranga,2.79,3.89,4.4,4.69,,3.24
07-18,Posto Camburi do Gas ,Camburi,BR,,,,,,
07-18,Posto Maruípe,Maruípe,BR,,,4.399,4.599,3.14,3.24
07-18,Posto Eucalipto,Maruípe,BR,,,,,,
07-18,Posto Norte Sul,Maruípe,Ipiranga,,3.5,4.4,4.65,3.21,3.3
07-18,Arara Azul Rede de Postos,Maruípe,Shell,2.8,,4.5,4.8,,3.4
07-18,Posto Enseada,Praia do Canto,Ipiranga,,3.5,4.56,4.6,,3.5
07-18,Posto Iate,Praia do Canto,Shell,,3.7,4.6,4.8,,3.4
07-18,Posto Santo Antônio,Santo Antônio,Ale,,3.55,4.35,,,3.39
07-18,Posto Apolo,São Pedro,Ale,,3.5,4.5,4.6,,3.44
08-18,Posto Modelo,Bento Ferreira,Branca,,3.15,4.37,4.37,3.15,
08-18,Posto Thiago,Bento Ferreira,BR,,3.5,4.5,4.7,3.24,
08-18,Posto Beira Mar,Bento Ferreira,Shell,,3.59,4.499,4.649,,3.309
08-18,Posto Moscoso,Centro,Shell,,,4.38,4.78,,3.66
08-18,Posto Ouro Negro,Centro,BR,,3.6,4.6,4.7,,3.74
08-18,Posto Pio XII,Centro,Atlântica,,,4.47,4.57,,
08-18,Arara Azul Rede de Postos,Camburi,Shell,2.96,3.49,4.59,4.79,,3.59
08-18,Auto Posto Presidente,Camburi,BR,3.399,,4.579,4.599,,3.599
08-18,Posto Mata da Praia,Camburi,Shell,,,,,,
08-18,Posto Aerovix,Camburi,Ipiranga,2.99,3.89,4.69,4.99,,3.99
08-18,Posto Camburi do Gas ,Camburi,BR,,,,,,
08-18,Posto Maruípe,Maruípe,BR,,,4.389,4.599,3.5,3.6
08-18,Posto Eucalipto,Maruípe,BR,,3.54,4.59,4.6,,3.54
08-18,Posto Norte Sul,Maruípe,Ipiranga,,3.59,4.69,4.79,,3.61
08-18,Arara Azul Rede de Postos,Maruípe,Shell,2.97,3.5,4.5,4.6,,3.4
08-18,Posto Enseada,Praia do Canto,Ipiranga,,,4.69,4.72,3.4,3.5
08-18,Posto Iate,Praia do Canto,Shell,,3.5,4.6,4.8,,3.69
08-18,Posto Santo Antônio,Santo Antônio,Ale,,,4.4,,,3.3
08-18,Posto Apolo,São Pedro,Ale,,3.5,4.4,4.5,,3.35
09-18,Posto Modelo,Bento Ferreira,Branca,,3.25,4.55,4.55,3.44,
09-18,Posto Thiago,Bento Ferreira,BR,,3.599,4.699,4.899,3.559,
09-18,Posto Beira Mar,Bento Ferreira,Shell,,3.489,4.729,4.879,,3.589
09-18,Posto Moscoso,Centro,Shell,,,4.599,4.8499,,3.649
09-18,Posto Ouro Negro,Centro,BR,,3.699,4.799,4.899,,3.739
09-18,Posto Pio XII,Centro,Atlântica,,,4.55,4.55,,
09-18,Arara Azul Rede de Postos,Camburi,Shell,2.989,3.689,4.689,4.889,,3.669
09-18,Auto Posto Presidente,Camburi,BR,,3.399,4.749,4.749,,3.599
09-18,Posto Mata da Praia,Camburi,Shell,,,,,,
09-18,Posto Aerovix,Camburi,Ipiranga,2.899,3.799,4.749,4.849,,3.499
09-18,Posto Camburi do Gas ,Camburi,BR,,,,,,
09-18,Posto Maruípe,Maruípe,BR,,,4.699,4.879,3.499,3.659
09-18,Posto Eucalipto,Maruípe,BR,,3.599,4.669,4.849,3.499,
09-18,Posto Norte Sul,Maruípe,Ipiranga,,3.499,4.659,4.859,3.559,3.619
09-18,Arara Azul Rede de Postos,Maruípe,Shell,2.969,3.599,4.649,4.649,,3.499
09-18,Posto Enseada,Praia do Canto,Ipiranga,,3.599,4.799,4.949,,3.759
09-18,Posto Iate,Praia do Canto,Shell,,3.999,4.999,5.199,,4.099
09-18,Posto Santo Antônio,Santo Antônio,Ale,,3.49,4.53,4.55,,
09-18,Posto Apolo,São Pedro,Ale,,3.699,4.53,4.55,,
10-18,Posto Modelo,Bento Ferreira,Branca,,3.44,4.63,4.63,3.54,
10-18,Posto Thiago,Bento Ferreira,BR,,3.7,4.79,4.9,3.49,
10-18,Posto Beira Mar,Bento Ferreira,Shell,,3.659,4.779,4.919,,3.7
10-18,Posto Moscoso,Centro,Shell,,,4.75,4.85,,3.75
10-18,Posto Ouro Negro,Centro,BR,,3.799,4.659,4.899,,3.799
10-18,Posto Pio XII,Centro,Atlântica,,,4.69,4.69,,
10-18,Arara Azul Rede de Postos,Camburi,Shell,3,3.79,4.79,4.99,,3.8
10-18,Auto Posto Presidente,Camburi,BR,,3.65,4.7,4.85,,3.7
10-18,Posto Mata da Praia,Camburi,Shell,,,,,,
10-18,Posto Aerovix,Camburi,Ipiranga,2.89,3.5,4.65,4.77,,3.7
10-18,Posto Camburi do Gas ,Camburi,BR,3,3.7,4.76,4.96,3.66,3.76
10-18,Posto Maruípe,Maruípe,BR,,3.75,4.69,4.859,3.5,3.75
10-18,Posto Eucalipto,Maruípe,BR,,3.7,4.69,4.9,3.63,
10-18,Posto Norte Sul,Maruípe,Ipiranga,,3.49,4.69,4.89,3.59,3.69
10-18,Arara Azul Rede de Postos,Maruípe,Shell,2.97,3.77,4.65,4.85,,3.7
10-18,Posto Enseada,Praia do Canto,Ipiranga,,3.7,4.9,5,,3.77
10-18,Posto Iate,Praia do Canto,Shell,,3.5,4.7,4.9,,3.8
10-18,Posto Santo Antônio,Santo Antônio,Ale,,3.59,4.7,4.8,,
10-18,Posto Apolo,São Pedro,Ale,,3.59,4.73,4.84,,
11-18,Posto Modelo,Bento Ferreira,Branca,,3.22,4.48,4.48,3.54,
11-18,Posto Thiago,Bento Ferreira,BR,,3.5,4.5,4.7,3.55,
11-18,Posto Beira Mar,Bento Ferreira,Shell,,3.499,4.599,4.699,,3.7
11-18,Posto Moscoso,Centro,Shell,,,4.7,4.84,,3.73
11-18,Posto Ouro Negro,Centro,BR,,3.699,4.629,4.759,,3.739
11-18,Posto Pio XII,Centro,Atlântica,,,4.39,4.39,,
11-18,Arara Azul Rede de Postos,Camburi,Shell,3.15,3.62,4.49,4.66,,3.8
11-18,Auto Posto Presidente,Camburi,BR,,3.6,4.6,4.75,,3.67
11-18,Posto Mata da Praia,Camburi,Shell,,,,,,
11-18,Posto Aerovix,Camburi,Ipiranga,2.99,3.5,4.63,4.73,,3.77
11-18,Posto Camburi do Gas ,Camburi,BR,3.2,3.5,4.4,4.6,3.55,3.65
11-18,Posto Maruípe,Maruípe,BR,,3.74,4.68,4.769,3.54,3.73
11-18,Posto Eucalipto,Maruípe,BR,,3.73,4.68,4.86,3.65,
11-18,Posto Norte Sul,Maruípe,Ipiranga,,3.69,4.79,4.89,3.57,3.67
11-18,Arara Azul Rede de Postos,Maruípe,Shell,3.2,3.77,4.59,4.65,,3.76
11-18,Posto Enseada,Praia do Canto,Ipiranga,,3.5,4.6,4.7,,3.76
11-18,Posto Iate,Praia do Canto,Shell,,3.6,4.7,4.9,,3.8
11-18,Posto Santo Antônio,Santo Antônio,Ale,,3.59,4.66,4.76,,
11-18,Posto Apolo,São Pedro,Ale,,3.59,4.69,4.79,,
12-18,Posto Modelo,Bento Ferreira,Branca,,3.22,4.39,4.39,3.54,
12-18,Posto Thiago,Bento Ferreira,BR,,,4.35,4.59,,3.59
12-18,Posto Beira Mar,Bento Ferreira,Shell,,3.499,4.599,4.699,,3.99
12-18,Posto Moscoso,Centro,Shell,,,4.659,4.829,,3.749
12-18,Posto Ouro Negro,Centro,BR,,3.499,4.599,4.699,,3.739
12-18,Posto Pio XII,Centro,Atlântica,,,4.31,4.31,,
12-18,Arara Azul Rede de Postos,Camburi,Shell,3.149,3.479,4.589,4.629,,3.689
12-18,Auto Posto Presidente,Camburi,BR,,3.529,4.499,4.499,,3.299
12-18,Posto Mata da Praia,Camburi,Shell,,,,,,
12-18,Posto Aerovix,Camburi,Ipiranga,3.199,3.489,3.499,4.599,,3.679
12-18,Posto Camburi do Gas ,Camburi,BR,3.15,3.429,4.529,4.599,3.489,3.639
12-18,Posto Maruípe,Maruípe,BR,,3.679,4.649,4.719,3.499,3.699
12-18,Posto Eucalipto,Maruípe,BR,,3.669,4.639,4.699,3.489,
12-18,Posto Norte Sul,Maruípe,Ipiranga,,3.679,4.699,4.725,3.515,3.599
12-18,Arara Azul Rede de Postos,Maruípe,Shell,3.14,3.675,4.495,4.579,,3.689
12-18,Posto Enseada,Praia do Canto,Ipiranga,,3.499,4.599,4.699,,3.759
12-18,Posto Iate,Praia do Canto,Shell,,3.395,4.395,4.595,,3.595
12-18,Posto Santo Antônio,Santo Antônio,Ale,,3.69,4.39,,,3.45
12-18,Posto Apolo,São Pedro,Ale,,,,,,
